Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,223022538,2861.266062244274,4018473,51.554970722039435,584433,4602882,59.05264182364856,62311,0.7994185305366002,8091,
United States of America,Americas,40330381,12184.31,1012709,305.95,164380,649292,196.16,10495,3.17,1661
India,South-East Asia,33174954,2403.97,271665,19.69,34973,442009,32.03,2114,0.15,260
Brazil,Americas,20928008,9845.72,123793,58.24,14430,584421,274.94,3271,1.54,250
The United Kingdom,Europe,7132076,10505.96,269168,396.5,37480,133841,197.16,921,1.36,167
Russian Federation,Europe,7102625,4867,127451,87.33,18341,191165,130.99,5554,3.81,789
France,Europe,6675975,10264.52,70621,108.58,10901,113441,174.42,501,0.77,103
Turkey,Europe,6590414,7814.19,154641,183.36,23846,59170,70.16,1887,2.24,257
Iran (Islamic Republic of),Eastern Mediterranean,5237799,6236,182287,217.03,26821,112935,134.46,3947,4.7,505
Argentina,Americas,5215332,11539.42,24384,53.95,3531,112962,249.94,957,2.12,111
Colombia,Americas,4923197,9675.54,12115,23.81,1787,125427,246.5,411,0.81,49
Spain,Europe,4903021,10358.65,24715,52.22,2025,85218,180.04,268,0.57,6
Italy,Europe,4590941,7697.56,37700,63.21,5518,129766,217.58,414,0.69,59
Indonesia,South-East Asia,4158731,1520.43,41841,15.3,5376,138431,50.61,3501,1.28,315
Germany,Europe,4059081,4880.66,74728,89.85,12969,92553,111.29,252,0.3,55
Mexico,Americas,3465171,2687.58,95424,74.01,15876,265420,205.86,4917,3.81,879
Poland,Europe,2892642,7620.61,2869,7.56,529,75417,198.68,45,0.12,8
South Africa,Africa,2843042,4793.63,46637,78.63,6269,84327,142.18,1413,2.38,175
Ukraine,Europe,2310554,5283.23,17013,38.9,3615,54251,124.05,329,0.75,76
