,Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
24,09/11/2021,40015,36,Caddo County,OK,52.0,14968,14966.0,62.4,14118,65.3,4642,95.5,93.7,17437.0,60.6,17434.0,72.7,16252.0,75.2,5047.0,99.9,D,16,16,16,16
153,09/11/2021,40135,36,Sequoyah County,OK,31.6,13129,13129.0,37.2,12568,39.4,4747,60.6,93.7,15704.0,37.8,15701.0,44.5,14897.0,46.7,5248.0,67.0,D,14,14,14,15
161,09/11/2021,40111,36,Okmulgee County,OK,34.2,13167,13167.0,40.4,12688,43.0,4741,64.7,93.7,16045.0,41.7,16045.0,49.2,15299.0,51.9,5315.0,72.6,D,14,15,15,15
164,09/11/2021,40127,36,Pushmataha County,OK,27.5,3048,3048.0,32.0,2992,34.5,1409,53.8,93.7,3673.0,33.1,3673.0,38.6,3574.0,41.2,1524.0,58.2,D,13,14,14,15
339,09/11/2021,40069,36,Johnston County,OK,33.3,3688,3688.0,39.4,3579,42.5,1368,62.4,93.7,4560.0,41.1,4560.0,48.7,4399.0,52.2,1590.0,72.6,D,14,14,15,15
344,09/11/2021,40005,36,Atoka County,OK,28.4,3910,3910.0,33.4,3853,36.1,1538,55.8,93.7,4544.0,33.0,4544.0,38.8,4440.0,41.6,1661.0,60.3,D,13,14,14,15
461,09/11/2021,40053,36,Grant County,OK,35.0,1515,1515.0,41.5,1477,44.8,673,69.6,93.7,1873.0,43.2,1873.0,51.3,1812.0,55.0,786.0,81.3,A,2,3,3,3
501,09/11/2021,40153,36,Woodward County,OK,31.2,6312,6312.0,37.2,6102,39.8,2300,69.4,93.7,7499.0,37.1,7498.0,44.2,7181.0,46.8,2630.0,79.4,C,10,10,10,11
559,09/11/2021,40043,36,Dewey County,OK,22.1,1082,1082.0,27.1,1059,29.8,513,57.8,93.7,1194.0,24.4,1194.0,29.9,1159.0,32.6,538.0,60.6,A,1,1,1,3
563,09/11/2021,40085,36,Love County,OK,33.6,3440,3440.0,39.9,3327,42.7,1261,62.8,93.7,4213.0,41.1,4213.0,48.9,4062.0,52.1,1466.0,73.0,C,10,10,11,11
594,09/11/2021,40123,36,Pontotoc County,OK,42.6,16294,16294.0,50.8,15533,53.4,4523,71.2,93.7,19647.0,51.3,19646.0,61.3,18630.0,64.1,5095.0,80.2,C,11,12,12,12
615,09/11/2021,40113,36,Osage County,OK,27.3,12822,12821.0,31.6,12208,33.1,4458,46.1,93.7,16198.0,34.5,16194.0,39.9,15256.0,41.3,5196.0,53.8,C,9,10,10,10
725,09/11/2021,40023,36,Choctaw County,OK,25.9,3806,3806.0,30.9,3714,33.4,1727,55.8,93.7,4730.0,32.2,4730.0,38.3,4591.0,41.3,1923.0,62.1,D,13,14,14,15
827,09/11/2021,40093,36,Major County,OK,40.0,3053,3053.0,48.2,2979,52.6,1340,85.7,93.7,3610.0,47.3,3610.0,57.0,3498.0,61.8,1472.0,94.2,B,7,7,8,8
892,09/11/2021,40009,36,Beckham County,OK,34.2,7482,7481.0,41.2,7226,44.1,2352,73.2,93.7,8777.0,40.2,8775.0,48.4,8386.0,51.1,2623.0,81.6,C,10,11,11,12
907,09/11/2021,40029,36,Coal County,OK,32.4,1780,1780.0,38.2,1735,41.4,722,62.6,93.7,2097.0,38.2,2097.0,45.0,2030.0,48.4,782.0,67.8,D,14,14,15,15
910,09/11/2021,40091,36,McIntosh County,OK,45.4,8906,8906.0,51.9,8642,54.8,4016,79.2,93.7,10564.0,53.9,10564.0,61.6,10175.0,64.6,4414.0,87.1,D,15,16,16,16
915,09/11/2021,40129,36,Roger Mills County,OK,29.5,1058,1058.0,34.8,1028,37.9,447,56.8,93.7,1219.0,34.0,,0.0,,0.0,,0.0,B,5,6,6,7
941,09/11/2021,40033,36,Cotton County,OK,35.6,2015,2015.0,41.5,1923,43.6,788,67.8,93.7,2549.0,45.0,2549.0,52.5,2408.0,54.6,911.0,78.3,C,10,11,11,11
1011,09/11/2021,40031,36,Comanche County,OK,45.5,54916,54916.0,54.2,51520,55.8,12024,77.1,93.7,68121.0,56.4,68111.0,67.3,63339.0,68.6,14103.0,90.4,D,15,16,16,16
1060,09/11/2021,40025,36,Cimarron County,OK,23.4,500,500.0,28.2,492,30.9,251,46.2,93.7,590.0,27.6,590.0,33.3,581.0,36.5,285.0,52.5,B,5,5,6,6
1071,09/11/2021,40097,36,Mayes County,OK,34.2,14047,14047.0,40.3,13536,42.9,5041,64.9,93.7,17754.0,43.2,17754.0,50.9,16979.0,53.8,5988.0,77.1,D,14,15,15,15
1127,09/11/2021,40101,36,Muskogee County,OK,39.9,27122,27122.0,47.6,25632,49.9,8924,76.9,93.7,34707.0,51.0,34705.0,60.9,32531.0,63.3,10495.0,90.5,D,14,15,15,16
1275,09/11/2021,40067,36,Jefferson County,OK,34.1,2044,2044.0,40.5,2002,44.0,887,68.9,93.7,2415.0,40.2,2415.0,47.9,2352.0,51.7,1011.0,78.5,D,14,15,15,15
1319,09/11/2021,40081,36,Lincoln County,OK,32.6,11365,11365.0,38.4,10926,41.0,4132,63.6,93.7,13774.0,39.5,13774.0,46.5,13135.0,49.3,4677.0,72.0,B,6,6,7,7
1382,09/11/2021,40045,36,Ellis County,OK,29.9,1153,1153.0,34.7,1130,37.9,585,65.4,93.7,1329.0,34.4,1329.0,40.0,1301.0,43.6,668.0,74.6,B,5,6,6,7
1388,09/11/2021,UNK,36,Unknown County,OK,0.0,113371,113349.0,0.0,110393,0.0,27458,0.0,93.7,145909.0,0.0,145856.0,0.0,141505.0,0.0,35110.0,0.0,,,,,
1456,09/11/2021,40141,36,Tillman County,OK,37.9,2748,2748.0,44.5,2647,47.5,1049,71.5,93.7,3353.0,46.2,3353.0,54.3,3203.0,57.5,1199.0,81.7,D,14,15,15,16
1483,09/11/2021,40017,36,Canadian County,OK,46.3,68606,68606.0,55.8,64109,58.4,15705,79.7,93.7,81507.0,55.0,81505.0,66.3,75592.0,68.9,17920.0,90.9,B,7,8,8,8
1489,09/11/2021,40099,36,Murray County,OK,37.6,5295,5295.0,44.1,5119,47.2,1905,67.1,93.7,6172.0,43.9,6172.0,51.4,5901.0,54.5,2109.0,74.3,C,10,11,11,11
1614,09/11/2021,40117,36,Pawnee County,OK,40.4,6612,6612.0,47.5,6278,50.0,2342,73.3,93.7,7936.0,48.5,7936.0,57.1,7510.0,59.8,2664.0,83.4,C,11,11,12,12
1666,09/11/2021,40109,36,Oklahoma County,OK,51.6,411804,411791.0,62.5,383128,64.4,94890,84.9,93.7,495731.0,62.2,495686.0,75.2,457474.0,76.9,108272.0,96.8,C,12,12,12,12
1670,09/11/2021,40013,36,Bryan County,OK,30.4,14568,14568.0,36.0,14071,38.2,5342,61.8,93.7,17482.0,36.4,17482.0,43.2,16781.0,45.6,5963.0,69.0,D,14,14,14,15
1693,09/11/2021,40089,36,McCurtain County,OK,26.1,8578,8577.0,31.4,8380,34.1,3513,57.6,93.7,11207.0,34.1,11206.0,41.1,10875.0,44.3,3927.0,64.4,D,13,14,14,15
1703,09/11/2021,40121,36,Pittsburg County,OK,35.4,15474,15473.0,41.6,14921,44.0,5607,63.1,93.7,19140.0,43.8,19138.0,51.4,18285.0,53.9,6313.0,71.1,D,14,15,15,15
1741,09/11/2021,40149,36,Washita County,OK,31.6,3450,3448.0,37.6,3319,40.3,1291,63.3,93.7,4297.0,39.4,4295.0,46.8,4105.0,49.8,1548.0,76.0,B,6,6,7,7
1771,09/11/2021,40139,36,Texas County,OK,34.2,6825,6825.0,42.4,6576,45.9,1682,71.2,93.7,8297.0,41.5,8297.0,51.5,7918.0,55.2,1868.0,79.1,D,14,15,15,16
1798,09/11/2021,40057,36,Harmon County,OK,40.3,1068,1068.0,47.7,1015,51.0,401,75.2,93.7,1272.0,47.9,1272.0,56.9,1198.0,60.2,470.0,88.2,D,15,15,16,16
1849,09/11/2021,40095,36,Marshall County,OK,35.6,6019,6019.0,41.8,5765,44.3,2384,64.4,93.7,7658.0,45.2,7658.0,53.1,7299.0,56.0,2853.0,77.1,D,14,15,15,15
1863,09/11/2021,40125,36,Pottawatomie County,OK,38.6,28028,28028.0,45.7,26604,47.8,9112,75.6,93.7,33486.0,46.1,33481.0,54.5,31519.0,56.7,9996.0,82.9,D,14,15,15,16
1914,09/11/2021,40003,36,Alfalfa County,OK,39.0,2224,2224.0,45.0,2206,48.0,794,68.7,93.7,2465.0,43.2,2464.0,49.8,2436.0,53.0,871.0,75.4,B,6,7,7,7
1925,09/11/2021,40143,36,Tulsa County,OK,50.0,325563,325559.0,60.1,304824,62.4,83444,86.5,93.7,384935.0,59.1,384906.0,71.0,357817.0,73.3,92674.0,96.1,C,12,12,12,12
1997,09/11/2021,40019,36,Carter County,OK,35.3,16991,16991.0,42.2,16303,45.1,5682,68.6,93.7,21240.0,44.1,21239.0,52.8,20259.0,56.1,6727.0,81.2,D,14,15,15,15
2037,09/11/2021,40079,36,Le Flore County,OK,31.8,15857,15857.0,37.6,15242,40.2,6007,66.0,93.7,18692.0,37.5,18691.0,44.3,17848.0,47.1,6480.0,71.2,D,14,14,15,15
2066,09/11/2021,40039,36,Custer County,OK,38.8,11266,11266.0,46.7,10676,48.9,3252,79.3,93.7,13813.0,47.6,13811.0,57.2,12970.0,59.4,3619.0,88.3,D,14,15,15,16
2071,09/11/2021,40007,36,Beaver County,OK,24.6,1307,1306.0,29.1,1267,32.3,558,53.1,93.7,1582.0,29.8,1582.0,35.2,1518.0,38.7,607.0,57.8,B,5,5,6,7
2111,09/11/2021,40047,36,Garfield County,OK,39.2,23938,23937.0,47.4,22802,50.3,7717,76.7,93.7,29009.0,47.5,29007.0,57.5,27432.0,60.5,8605.0,85.6,C,10,11,12,12
2147,09/11/2021,40059,36,Harper County,OK,37.2,1372,1372.0,44.8,1306,47.6,541,74.8,93.7,1575.0,42.7,1574.0,51.4,1489.0,54.2,576.0,79.7,B,6,7,7,8
2163,09/11/2021,40011,36,Blaine County,OK,37.2,3507,3507.0,44.8,3341,47.6,1178,61.7,93.7,4249.0,45.1,4249.0,54.2,3989.0,56.8,1350.0,70.8,C,10,11,11,11
2242,09/11/2021,40035,36,Craig County,OK,43.4,6134,6134.0,50.4,5939,53.4,2327,81.8,93.7,7537.0,53.3,7537.0,61.9,7252.0,65.3,2745.0,96.5,D,15,16,16,16
2273,09/11/2021,40103,36,Noble County,OK,50.5,5619,5619.0,59.7,5334,62.7,1909,85.7,93.7,6746.0,60.6,6745.0,71.7,6350.0,74.7,2114.0,94.9,B,8,8,8,8
2283,09/11/2021,40107,36,Okfuskee County,OK,38.5,4614,4614.0,45.2,4410,47.6,1676,77.9,93.7,5403.0,45.1,5402.0,52.9,5127.0,55.4,1745.0,81.1,D,14,15,15,16
2316,09/11/2021,40055,36,Greer County,OK,30.5,1742,1740.0,35.0,1682,36.7,751,73.8,93.7,2044.0,35.8,2042.0,41.1,1961.0,42.8,865.0,85.0,D,14,14,14,16
2421,09/11/2021,40071,36,Kay County,OK,34.0,14797,14795.0,40.7,14188,43.4,5915,69.5,93.7,18063.0,41.5,18060.0,49.6,17151.0,52.5,6729.0,79.1,D,14,15,15,15
2492,09/11/2021,40065,36,Jackson County,OK,41.3,10123,10122.0,49.9,9712,52.7,2874,76.9,93.7,12158.0,49.6,12157.0,59.9,11605.0,63.0,3223.0,86.2,D,15,15,16,16
2506,09/11/2021,40027,36,Cleveland County,OK,44.0,124955,124954.0,50.9,116077,51.9,28461,72.6,93.7,146399.0,51.5,146384.0,59.6,135059.0,60.3,31976.0,81.6,B,7,8,8,8
2547,09/11/2021,40063,36,Hughes County,OK,36.7,4870,4870.0,42.9,4683,45.1,1793,71.2,93.7,5846.0,44.0,5845.0,51.4,5582.0,53.7,1988.0,78.9,D,14,15,15,16
2605,09/11/2021,40145,36,Wagoner County,OK,38.1,30999,30999.0,45.1,29439,47.6,9321,68.3,93.7,36925.0,45.4,36923.0,53.7,34772.0,56.3,10359.0,75.9,B,6,7,7,7
2621,09/11/2021,40077,36,Latimer County,OK,27.5,2766,2766.0,32.0,2670,33.9,1066,47.8,93.7,3194.0,31.7,3194.0,37.0,3042.0,38.6,1120.0,50.2,D,13,14,14,14
2629,09/11/2021,40001,36,Adair County,OK,26.2,5821,5820.0,32.0,5528,34.1,1961,55.8,93.7,7940.0,35.8,7939.0,43.6,7462.0,46.1,2361.0,67.2,D,13,14,14,15
2667,09/11/2021,40131,36,Rogers County,OK,37.8,34945,34944.0,44.4,33247,46.8,11266,73.1,93.7,41240.0,44.6,41238.0,52.3,39023.0,54.9,12453.0,80.9,B,6,7,7,8
2679,09/11/2021,40073,36,Kingfisher County,OK,36.7,5781,5780.0,44.5,5500,47.6,1806,70.0,93.7,7127.0,45.2,7126.0,54.8,6752.0,58.5,2086.0,80.9,B,6,7,7,8
2717,09/11/2021,40037,36,Creek County,OK,34.9,24963,24963.0,41.1,23941,43.7,8518,65.3,93.7,30043.0,42.0,30042.0,49.5,28651.0,52.3,9645.0,73.9,B,6,7,7,7
2750,09/11/2021,40115,36,Ottawa County,OK,31.5,9790,9789.0,37.7,9441,40.3,3828,66.6,93.7,11846.0,38.1,11844.0,45.7,11368.0,48.5,4465.0,77.7,D,14,14,15,15
2809,09/11/2021,40151,36,Woods County,OK,33.4,2934,2934.0,39.0,2842,40.6,1151,75.2,93.7,3532.0,40.2,3532.0,46.9,3391.0,48.5,1271.0,83.1,B,6,6,7,8
2817,09/11/2021,40087,36,McClain County,OK,39.9,16135,16135.0,47.4,15345,50.9,4855,76.3,93.7,19121.0,47.2,19119.0,56.2,18053.0,59.9,5383.0,84.5,A,2,3,4,4
2824,09/11/2021,40075,36,Kiowa County,OK,42.8,3725,3725.0,51.1,3599,54.4,1433,83.7,93.7,4455.0,51.2,4455.0,61.1,4263.0,64.4,1664.0,97.2,C,11,12,12,12
2861,09/11/2021,40049,36,Garvin County,OK,38.9,10773,10773.0,46.4,10408,49.8,4055,80.3,93.7,12762.0,46.1,12762.0,55.0,12216.0,58.5,4450.0,88.1,C,10,11,11,12
2864,09/11/2021,40051,36,Grady County,OK,30.8,17189,17187.0,36.2,16477,38.7,5660,60.6,93.7,20275.0,36.3,20273.0,42.7,19268.0,45.3,6276.0,67.2,B,6,6,6,7
2874,09/11/2021,40119,36,Payne County,OK,39.9,32623,32622.0,45.6,30797,46.5,8189,76.9,93.7,39183.0,47.9,39180.0,54.8,36802.0,55.5,9384.0,88.1,C,10,11,11,12
2893,09/11/2021,40083,36,Logan County,OK,27.3,13127,13127.0,31.9,12653,34.0,4248,54.0,93.7,15821.0,33.0,15820.0,38.5,15085.0,40.6,4799.0,61.0,B,5,6,6,7
2919,09/11/2021,40137,36,Stephens County,OK,38.7,16684,16684.0,45.4,16097,48.5,6633,75.7,93.7,20413.0,47.3,20411.0,55.5,19518.0,58.8,7661.0,87.4,C,10,11,11,12
2939,09/11/2021,40105,36,Nowata County,OK,32.2,3244,3244.0,37.8,3135,40.1,1225,61.5,93.7,4312.0,42.8,4312.0,50.3,4142.0,52.9,1498.0,75.2,C,10,10,11,11
2965,09/11/2021,40147,36,Washington County,OK,34.7,17898,17898.0,41.2,16969,43.2,6449,63.3,93.7,22289.0,43.3,22288.0,51.3,20987.0,53.4,7772.0,76.3,B,6,7,7,7
3037,09/11/2021,40061,36,Haskell County,OK,32.7,4130,4130.0,38.5,4010,41.5,1716,66.6,93.7,4964.0,39.3,4963.0,46.3,4761.0,49.2,1891.0,73.4,D,14,14,15,15
3053,09/11/2021,40133,36,Seminole County,OK,42.4,10291,10291.0,50.4,9798,53.5,3421,76.8,93.7,12307.0,50.7,12307.0,60.3,11579.0,63.2,3753.0,84.3,D,15,16,16,16
3090,09/11/2021,40021,36,Cherokee County,OK,36.6,17807,17807.0,42.7,16869,44.3,5346,64.7,93.7,22311.0,45.9,22311.0,53.5,20942.0,54.9,6157.0,74.5,D,14,15,15,15
3261,09/11/2021,40041,36,Delaware County,OK,29.9,12876,12876.0,34.3,12393,36.0,5683,52.5,93.7,17020.0,39.6,17019.0,45.3,16294.0,47.3,7189.0,66.5,D,13,14,14,15
3303,09/10/2021,40129,36,Roger Mills County,OK,29.5,1058,1058.0,34.8,1028,37.9,447,56.8,93.7,1218.0,34.0,,0.0,,0.0,,0.0,B,5,6,6,7
3341,09/10/2021,40037,36,Creek County,OK,34.8,24869,24869.0,41.0,23861,43.6,8512,65.2,93.7,29991.0,41.9,29990.0,49.4,28602.0,52.2,9637.0,73.9,B,6,7,7,7
3371,09/10/2021,40071,36,Kay County,OK,33.8,14699,14698.0,40.4,14110,43.2,5906,69.4,93.7,18009.0,41.4,18006.0,49.5,17111.0,52.3,6722.0,79.0,D,14,15,15,15
3435,09/10/2021,40049,36,Garvin County,OK,38.7,10732,10732.0,46.3,10374,49.7,4048,80.2,93.7,12734.0,46.0,12734.0,54.9,12191.0,58.4,4442.0,88.0,C,10,11,11,12
3445,09/10/2021,40095,36,Marshall County,OK,35.4,6001,6001.0,41.6,5750,44.1,2384,64.4,93.7,7638.0,45.1,7638.0,53.0,7280.0,55.9,2849.0,77.0,D,14,15,15,15
3468,09/10/2021,40105,36,Nowata County,OK,31.9,3210,3210.0,37.4,3101,39.6,1219,61.2,93.7,4295.0,42.6,4295.0,50.1,4126.0,52.7,1496.0,75.1,C,10,10,10,11
3497,09/10/2021,40091,36,McIntosh County,OK,45.3,8870,8870.0,51.7,8611,54.7,4013,79.2,93.7,10526.0,53.7,10526.0,61.4,10140.0,64.4,4413.0,87.1,D,15,16,16,16
3511,09/10/2021,40093,36,Major County,OK,39.8,3040,3040.0,48.0,2966,52.4,1339,85.7,93.7,3605.0,47.3,3605.0,56.9,3493.0,61.7,1472.0,94.2,B,6,7,8,8
3549,09/10/2021,40051,36,Grady County,OK,30.7,17138,17136.0,36.1,16434,38.6,5652,60.5,93.7,20229.0,36.2,20227.0,42.6,19230.0,45.2,6266.0,67.1,B,6,6,6,7
3609,09/10/2021,40123,36,Pontotoc County,OK,42.4,16218,16218.0,50.6,15475,53.2,4513,71.0,93.7,19581.0,51.1,19580.0,61.1,18573.0,63.9,5080.0,79.9,C,11,12,12,12
3662,09/10/2021,40043,36,Dewey County,OK,22.0,1078,1078.0,27.0,1055,29.7,512,57.7,93.7,1192.0,24.4,1192.0,29.8,1159.0,32.6,538.0,60.6,A,1,1,1,3
3663,09/10/2021,40007,36,Beaver County,OK,24.3,1293,1292.0,28.8,1255,32.0,555,52.8,93.7,1577.0,29.7,1577.0,35.1,1513.0,38.6,605.0,57.6,B,5,5,6,7
