,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
0,09/01/2021,ND,118491,107475.0,11016.0,536,66.0,1562,,,1,0.0,09/02/2021 01:49:05 PM,Agree,Not agree
60,05/01/2021,WI,661209,598822.0,62387.0,759,84.0,7569,6841.0,728.0,19,1.0,05/02/2021 02:13:07 PM,Agree,Agree
79,06/01/2021,IL,1382587,1382587.0,0.0,401,0.0,25233,22835.0,2398.0,10,2.0,06/02/2021 02:35:40 PM,Agree,Agree
166,03/01/2021,CT,282626,263448.0,19178.0,2680,284.0,7651,6280.0,1371.0,29,3.0,03/02/2021 02:54:47 PM,Agree,Agree
215,02/01/2021,WA,313551,,,859,71.0,4318,,,33,0.0,02/03/2021 12:00:00 AM,,
269,01/01/2021,WI,522523,483007.0,39516.0,2085,180.0,5254,4869.0,385.0,12,2.0,01/02/2021 02:50:51 PM,Agree,Agree
299,06/01/2021,ID,192305,153906.0,38399.0,227,15.0,2090,1822.0,268.0,0,0.0,06/02/2021 02:35:40 PM,Agree,Agree
443,07/01/2021,NH,99527,,,23,27.0,1372,,,0,0.0,07/02/2021 01:55:07 PM,Not agree,Not agree
461,01/01/2021,ND,92891,89829.0,3062.0,121,22.0,1310,,,1,0.0,01/02/2021 02:50:51 PM,Agree,Not agree
497,07/01/2021,MT,113821,101554.0,12267.0,66,15.0,1666,1666.0,0.0,1,0.0,07/02/2021 01:55:07 PM,Agree,Agree
515,04/01/2021,NV,304112,,,350,0.0,5256,,,7,0.0,04/02/2021 01:56:15 PM,,
588,08/01/2021,NC,1062121,900090.0,162031.0,2505,337.0,13752,12123.0,1629.0,14,2.0,08/01/2021 12:00:00 AM,Agree,Agree
620,03/01/2021,MD,383170,,,468,0.0,8381,8179.0,202.0,11,0.0,03/03/2021 12:00:00 AM,,Agree
641,08/01/2021,NH,100875,,,109,40.0,1387,,,0,0.0,08/02/2021 02:03:57 PM,Not agree,Not agree
646,05/01/2021,ME,61847,46023.0,15824.0,317,221.0,789,763.0,26.0,5,1.0,05/02/2021 02:13:07 PM,Agree,Agree
706,08/01/2021,MI,1016694,908989.0,107705.0,592,74.0,21206,19937.0,1269.0,1,0.0,08/02/2021 12:00:00 AM,Agree,Agree
725,06/01/2021,CT,347563,318234.0,29329.0,57,13.0,8244,6780.0,1464.0,6,3.0,06/02/2021 02:35:40 PM,Agree,Agree
749,03/01/2021,VT,14140,,,96,1.0,204,,,0,0.0,03/03/2021 12:00:00 AM,Not agree,Not agree
