,Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
0,09/11/2021,12047,36,Hamilton County,FL,29.8,4305,4305.0,34.1,4188,35.8,1830,68.7,98.7,5186.0,35.9,5186.0,41.1,4981.0,42.6,1934.0,72.6,D,13,14,14,15
1,09/11/2021,08043,36,Fremont County,CO,36.0,17230,17224.0,40.1,16893,42.1,7141,67.4,97.4,19403.0,40.6,19389.0,45.2,18930.0,47.1,7888.0,74.5,C,10,11,11,11
2,09/11/2021,28003,36,Alcorn County,MS,30.9,11429,11428.0,36.1,11054,38.6,4370,62.7,98.3,13605.0,36.8,13602.0,43.0,13059.0,45.6,4803.0,69.0,C,10,10,10,11
3,09/11/2021,38029,36,Emmons County,ND,27.9,905,905.0,31.8,887,34.0,505,55.4,95.1,1097.0,33.8,1097.0,38.5,1072.0,41.1,601.0,66.0,A,1,2,2,3
4,09/11/2021,29153,36,Ozark County,MO,25.8,2369,2369.0,29.3,2325,31.4,1129,42.1,91.1,2931.0,31.9,2931.0,36.2,2860.0,38.6,1373.0,51.2,C,9,9,10,10
5,09/11/2021,19041,36,Clay County,IA,45.5,7280,7280.0,53.5,6962,56.3,2859,84.4,97.5,7841.0,49.0,7841.0,57.6,7463.0,60.3,2967.0,87.6,B,7,8,8,8
6,09/11/2021,19097,36,Jackson County,IA,46.4,9012,9012.0,54.0,8724,57.6,3423,82.7,97.5,9549.0,49.1,9549.0,57.3,9208.0,60.8,3532.0,85.3,A,3,4,4,4
7,09/11/2021,27099,36,Mower County,MN,51.9,20800,20754.0,62.1,19389,64.6,6458,87.0,94.2,22384.0,55.9,22325.0,66.8,20751.0,69.1,6611.0,89.1,C,12,12,12,12
8,09/11/2021,08055,36,Huerfano County,CO,46.2,3183,3182.0,51.2,3115,53.8,1546,69.8,97.4,3435.0,49.8,3433.0,55.3,3346.0,57.8,1633.0,73.7,C,11,12,12,11
9,09/11/2021,25013,36,Hampden County,MA,54.2,252829,252377.0,62.7,236435,64.4,65022,80.5,89.5,289236.0,62.0,288518.0,71.7,268831.0,73.3,71715.0,88.7,D,16,16,16,16
10,09/11/2021,13179,36,Liberty County,GA,35.7,21921,21920.0,45.2,20799,47.2,3216,54.4,55.9,26612.0,43.3,26605.0,54.8,25000.0,56.8,3499.0,59.2,D,14,15,15,15
11,09/11/2021,26103,36,Marquette County,MI,56.9,37943,37943.0,64.5,36050,65.8,11686,89.3,93.7,39305.0,58.9,39303.0,66.8,37864.0,69.1,12126.0,92.6,B,8,8,8,8
12,09/11/2021,26099,36,Macomb County,MI,48.4,423215,423210.0,55.9,403309,58.3,121681,79.9,93.7,430084.0,49.2,430065.0,56.8,418151.0,60.4,125341.0,82.3,B,7,8,8,8
13,09/11/2021,27171,36,Wright County,MN,44.3,61346,61216.0,53.8,56726,56.7,15259,84.9,94.2,66986.0,48.4,66791.0,58.7,61783.0,61.8,16053.0,89.3,A,3,4,4,4
14,09/11/2021,30061,36,Mineral County,MT,46.4,2041,2041.0,52.5,1968,54.7,939,72.2,95.6,2279.0,51.8,2278.0,58.6,2193.0,61.0,1020.0,78.5,C,11,12,12,12
15,09/11/2021,47021,36,Cheatham County,TN,39.8,16178,16176.0,46.1,15535,48.9,4913,77.8,97.8,19152.0,47.1,19149.0,54.6,18211.0,57.3,5347.0,84.6,A,2,3,3,4
16,09/11/2021,46057,36,Hamlin County,SD,30.9,1903,1903.0,39.4,1828,44.0,634,66.5,84.3,,0.0,,0.0,,0.0,,0.0,A,2,2,3,3
17,09/11/2021,72083,36,Las Marias Municipio,PR,71.8,5693,5692.0,80.5,5241,80.6,1550,99.9,95.9,6443.0,81.3,6436.0,91.0,5868.0,90.2,1614.0,99.9,C,12,12,12,12
18,09/11/2021,13299,36,Ware County,GA,19.4,6947,6946.0,23.2,6741,24.9,2533,40.4,55.9,9010.0,25.2,9008.0,30.1,8642.0,31.9,2933.0,46.8,D,13,13,13,14
19,09/11/2021,48209,36,Hays County,TX,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,,,,
20,09/11/2021,12093,36,Okeechobee County,FL,37.5,15800,15800.0,43.6,15291,46.0,7132,84.1,98.7,18874.0,44.8,18874.0,52.1,18129.0,54.6,7780.0,91.7,D,14,15,15,16
21,09/11/2021,53047,36,Okanogan County,WA,58.4,24669,24669.0,69.2,23708,73.2,7847,84.3,96.2,27430.0,64.9,27428.0,76.9,26153.0,80.7,8226.0,88.3,D,16,16,16,16
22,09/11/2021,53009,36,Clallam County,WA,59.9,46310,46309.0,67.4,44592,69.3,19692,83.6,96.2,51072.0,66.0,51066.0,74.3,49006.0,76.1,21168.0,89.9,C,12,12,12,12
23,09/11/2021,12023,36,Columbia County,FL,34.0,24341,24341.0,39.6,23446,41.7,9509,68.9,98.7,29882.0,41.7,29874.0,48.6,28520.0,50.7,10400.0,75.3,D,14,14,15,15
24,09/11/2021,40015,36,Caddo County,OK,52.0,14968,14966.0,62.4,14118,65.3,4642,95.5,93.7,17437.0,60.6,17434.0,72.7,16252.0,75.2,5047.0,99.9,D,16,16,16,16
25,09/11/2021,29019,36,Boone County,MO,52.5,94827,94825.0,60.9,89086,62.0,19835,85.9,91.1,107865.0,59.8,107855.0,69.3,100916.0,70.2,21506.0,93.2,B,8,8,8,8
26,09/11/2021,28145,36,Union County,MS,31.9,9185,9185.0,38.1,8864,41.0,3398,69.9,98.3,10756.0,37.3,10756.0,44.7,10301.0,47.7,3622.0,74.6,D,14,14,15,15
27,09/11/2021,38063,36,Nelson County,ND,61.1,1759,1759.0,69.6,1688,72.7,763,99.9,95.1,1880.0,65.3,1878.0,74.3,1799.0,77.5,803.0,99.9,A,4,4,4,4
28,09/11/2021,48169,36,Garza County,TX,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,,,,
29,09/11/2021,29109,36,Lawrence County,MO,31.8,12188,12188.0,38.0,11652,40.7,4411,62.3,91.1,14200.0,37.0,14200.0,44.3,13495.0,47.1,4830.0,68.3,D,14,14,15,15
30,09/11/2021,37041,36,Chowan County,NC,39.9,5557,5555.0,45.6,5364,48.0,2382,67.7,96.3,7509.0,53.9,7499.0,61.6,7209.0,64.6,3041.0,86.4,D,14,15,15,15
31,09/11/2021,37163,36,Sampson County,NC,39.6,25184,25177.0,47.1,24101,50.1,8115,69.7,96.3,31531.0,49.6,31512.0,58.9,29950.0,62.3,8948.0,76.9,D,14,15,16,15
32,09/11/2021,30095,36,Stillwater County,MT,36.0,3470,3469.0,41.2,3408,44.8,1638,72.2,95.6,3796.0,39.4,3796.0,45.0,3713.0,48.8,1732.0,76.4,A,2,3,3,4
33,09/11/2021,18093,36,Lawrence County,IN,42.0,19061,19059.0,48.5,18433,51.6,7042,75.4,98.5,20930.0,46.1,20927.0,53.2,20120.0,56.4,7404.0,79.3,B,7,7,8,8
34,09/11/2021,16085,36,Valley County,ID,50.2,5716,,,5715,61.4,2379,80.5,97.7,6286.0,55.2,,,6285.0,67.5,2509.0,84.9,A,4,,4,4
35,09/11/2021,48145,36,Falls County,TX,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,,,,
36,09/11/2021,05095,36,Monroe County,AR,45.2,3026,3026.0,52.6,2862,53.7,1031,64.0,90.0,3827.0,57.1,3825.0,66.4,3592.0,67.4,1245.0,77.2,D,15,16,16,15
37,09/11/2021,37113,36,Macon County,NC,33.1,11883,11872.0,37.6,11450,39.1,4558,44.0,96.3,13747.0,38.3,13718.0,43.4,13267.0,45.3,5061.0,48.9,B,6,6,6,6
38,09/11/2021,53019,36,Ferry County,WA,46.4,3541,3541.0,52.1,3390,53.2,1456,67.6,96.2,3960.0,51.9,3960.0,58.2,3771.0,59.2,1538.0,71.4,D,15,16,16,15
39,09/11/2021,22041,36,Franklin Parish,LA,29.7,5945,5945.0,35.7,5788,38.7,2272,61.6,96.5,7063.0,35.3,7063.0,42.4,6815.0,45.6,2490.0,67.5,D,13,14,14,15
40,09/11/2021,38103,36,Wells County,ND,36.8,1410,1410.0,42.7,1390,45.6,672,61.0,95.1,1609.0,42.0,1606.0,48.6,1574.0,51.7,751.0,68.2,A,2,3,3,3
41,09/11/2021,51680,36,Lynchburg city,VA,0.8,697,697.0,1.0,681,1.0,104,0.9,51.2,930.0,1.1,929.0,1.3,905.0,1.4,125.0,1.0,C,9,9,9,9
42,09/11/2021,46093,36,Meade County,SD,40.4,11446,11446.0,47.3,10920,49.7,2927,64.6,84.3,12385.0,43.7,,0.0,,0.0,,0.0,A,3,3,3,3
43,09/11/2021,46081,36,Lawrence County,SD,38.9,10050,10050.0,43.7,9546,44.8,3577,60.5,84.3,,0.0,,0.0,,0.0,,0.0,B,6,7,7,7
44,09/11/2021,05147,36,Woodruff County,AR,48.3,3053,3052.0,56.2,2901,58.4,1112,75.3,90.0,3583.0,56.7,3580.0,66.0,3388.0,68.2,1221.0,82.7,D,15,16,16,16
45,09/11/2021,12069,36,Lake County,FL,55.7,204398,204332.0,63.4,195539,65.7,91287,91.9,98.7,237563.0,64.7,236998.0,73.6,225555.0,75.8,101085.0,99.9,C,12,12,12,12
46,09/11/2021,48101,36,Cottle County,TX,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,,,,
47,09/11/2021,UNK,36,Unknown County,NV,0.0,77355,77334.0,0.0,75151,0.0,14788,0.0,94.9,105331.0,0.0,105281.0,0.0,100957.0,0.0,17187.0,0.0,,,,,
48,09/11/2021,48055,36,Caldwell County,TX,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,,,,
49,09/11/2021,51081,36,Greensville County,VA,5.4,611,611.0,6.0,588,6.2,187,10.8,51.2,836.0,7.4,836.0,8.3,804.0,8.5,216.0,12.5,D,13,13,13,13
50,09/11/2021,05011,36,Bradley County,AR,46.9,5050,5049.0,55.7,4769,58.3,1599,77.2,90.0,6081.0,56.5,6075.0,67.0,5649.0,69.1,1795.0,86.7,D,15,16,16,16
51,09/11/2021,18063,36,Hendricks County,IN,61.9,105446,105440.0,73.4,97748,76.2,25157,99.9,98.5,113506.0,66.6,113492.0,79.0,104319.0,81.3,25811.0,99.9,A,4,4,4,4
52,09/11/2021,51036,36,Charles City County,VA,3.6,250,250.0,4.0,235,4.0,91,5.1,51.2,305.0,4.4,305.0,4.8,283.0,4.8,113.0,6.4,A,1,1,1,1
53,09/11/2021,39143,36,Sandusky County,OH,45.3,26484,26484.0,52.7,25335,55.6,9651,85.3,97.6,26994.0,46.1,26994.0,53.7,25726.0,56.4,9651.0,85.3,B,7,8,8,8
54,09/11/2021,39099,36,Mahoning County,OH,47.6,108899,108898.0,54.6,104685,57.1,39125,79.8,97.6,114633.0,50.1,114629.0,57.5,109715.0,59.9,40824.0,83.3,C,11,12,12,12
55,09/11/2021,17143,36,Peoria County,IL,49.0,87835,87674.0,58.3,82443,60.3,25981,82.5,97.7,104573.0,58.4,104305.0,69.3,97658.0,71.4,28663.0,91.0,C,11,12,12,12
