,Date,FIPS,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct
32820,09/01/2021,12043,Glades County,FL,26.1,3607,3607.0,28.6,3500,29.6,1587,41.7,98.7,4298.0,31.1,4298.0,34.1,4123.0,34.9,1653.0,43.4
32821,09/01/2021,39151,Stark County,OH,45.1,167227,167226.0,52.3,159833,54.8,58562,79.3,97.6,175398.0,47.3,175394.0,54.9,166604.0,57.1,59818.0,81.0
32822,09/01/2021,37023,Burke County,NC,36.9,33417,33395.0,41.8,32097,43.5,12348,66.0,96.3,38027.0,42.0,37988.0,47.5,36201.0,49.0,12933.0,69.1
32823,09/01/2021,41069,Wheeler County,OR,48.3,643,639.0,52.5,622,54.2,337,69.6,97.8,689.0,51.7,685.0,56.3,665.0,58.0,357.0,73.8
32824,09/01/2021,49007,Carbon County,UT,37.9,7752,7752.0,45.3,7409,48.7,2754,74.7,97.2,9249.0,45.2,9245.0,54.1,8722.0,57.3,3125.0,84.7
32825,09/01/2021,38001,Adams County,ND,41.0,908,908.0,46.9,896,50.1,451,71.4,95.1,1028.0,46.4,1026.0,53.1,1003.0,56.1,488.0,77.2
32826,09/01/2021,08001,Adams County,CO,54.0,279455,278782.0,65.0,256137,67.0,45391,81.7,97.4,308639.0,59.6,307655.0,71.8,281884.0,73.7,48830.0,87.9
32827,09/01/2021,24011,Caroline County,MD,48.0,16021,16017.0,56.6,15310,60.0,4949,88.8,98.6,17496.0,52.4,17492.0,61.8,16579.0,64.9,5169.0,92.7
32828,09/01/2021,72059,Guayanilla Municipio,PR,62.9,11089,11087.0,70.5,10190,70.5,2956,98.7,96.0,12931.0,73.4,12927.0,82.2,11798.0,81.6,3306.0,99.9
32829,09/01/2021,40075,Kiowa County,OK,41.9,3652,3652.0,50.1,3538,53.5,1427,83.4,93.6,4368.0,50.2,4368.0,59.9,4181.0,63.2,1651.0,96.4
32830,09/01/2021,20177,Shawnee County,KS,50.1,88598,88598.0,59.1,83447,61.5,27999,84.0,93.6,99684.0,56.4,99681.0,66.4,92799.0,68.4,29428.0,88.3
